id,name,cn,val,reference,color,collection
"""300103701410917342120231227AMS""","""TERDAMMER""","""CNG1""","""58""","""14AMSTERDAMMERCNG1AMSTERDAMMERCLGCLARY""","""GRAYCNG1OR""","""24KAAA5814140CC505001"""
"""300103701410928041120231227AMS""","""TERDAMMER""","""CNG13""","""58""","""14AMSTERDAMMERCNG13AMSTERDAMMERCLGCLARY""","""GRAYCNG13OR""","""24K"""
"""300103701410928058120231227AMS""","""TERDAMMER""","""CNG14""","""58""","""14AMSTERDAMMERCNG14AMSTERDAMMERCLGCLARY""","""GRAYCNG14OR""","""24K"""
"""300103701410917359120231227AMS""","""TERDAMMER""","""CNG1S5""","""58""","""14AMSTERDAMMERCNG1S5AMSTERDAMMERCLGCLARY""","""GRAYCNG1S5OR""","""24KBAA5814140CC55550S5DEGRADEC11"""
"""300103701410917328120231227AMS""","""TERDAMMER""","""CNG2""","""58""","""14AMSTERDAMMERCNG2AMSTERDAMMERCLGCLARY""","""GRAYCNG2OR""","""ET"""
"""300103701410917335120231227AMS""","""TERDAMMER""","""CNG2S12""","""58""","""14AMSTERDAMMERCNG2S12AMSTERDAMMERCLGCLARY""","""GRAYCNG2S12OR""","""ET"""
"""300103701410917304120231227AMS""","""TERDAMMER""","""CNG4""","""58""","""14AMSTERDAMMERCNG4AMSTERDAMMERCLGCLARY""","""GRAYCNG4OR""","""ET"""
"""300103701410917311120231227AMS""","""TERDAMMER""","""CNG4S23""","""58""","""14AMSTERDAMMERCNG4S23AMSTERDAMMERCLGCLARY""","""GRAYCNG4S23OR""","""ET"""
"""300103701410927648120231227ANG""","""ELES""","""CNG1""","""53""","""18ANGELESCNG1ANGELESCLGCLARY""","""GRAYCNG1OR""","""24KAAB5318140CC505001"""
"""300103701410927655120231227ANG""","""ELES""","""CNG1S7""","""53""","""18ANGELESCNG1S7ANGELESCLGCLARY""","""GRAYCNG1S7OR""","""24KBAB5318140CC55550S7DEGRADEC11"""
"""300103701410914037120231227ANG""","""ELES""","""CNG5""","""53""","""18ANGELESCNG5ANGELESCLGCLARY""","""GRAYCNG5OR""","""ET"""
"""300103701410914020120231227ANG""","""ELES""","""CNG5S13""","""53""","""18ANGELESCNG5S13ANGELESCLGCLARY""","""GRAYCNG5S13OR""","""ET"""
"""300103701410914013120231227ANG""","""ELES""","""CNG6""","""53""","""18ANGELESCNG6ANGELESCLGCLARY""","""GRAYCNG6OR""","""ROSEAAB5318140CC505001"""
"""300103701410914006120231227ANG""","""ELES""","""CNG6S6""","""53""","""18ANGELESCNG6S6ANGELESCLGCLARY""","""GRAYCNG6S6OR""","""ROSEBAB5318140CC55550S6DEGRADEC11"""
"""300103701410929567120231227AUS""","""TINITE""","""CNG1""","""52""","""17AUSTINITECNG1AUSTINITECLGCLARY""","""GRAYCNG1OR""","""24K"""
"""300103701410929550120231227AUS""","""TINITE""","""CNG14""","""52""","""17AUSTINITECNG14AUSTINITECLGCLARY""","""GRAYCNG14OR""","""24K"""
"""300103701410929543120231227AUS""","""TINITE""","""CNG6""","""52""","""17AUSTINITECNG6AUSTINITECLGCLARY""","""GRAYCNG6OR""","""ROSE"""
"""300103701410917465120231227BAL""","""INESE""","""CNG1""","""51""","""20BALINESECNG1BALINESECLGCLARY""","""GRAYCNG1OR""","""24KAAB5120140CC505001"""
"""300103701410917472120231227BAL""","""INESE""","""CNG1S24""","""51""","""20BALINESECNG1S24BALINESECLGCLARY""","""GRAYCNG1S24OR""","""24KBAB5120140CC55550S24DEGRADEC11"""
"""300103701410917441120231227BAL""","""INESE""","""CNG2""","""51""","""20BALINESECNG2BALINESECLGCLARY""","""GRAYCNG2OR""","""ET"""
"""300103701410917458120231227BAL""","""INESE""","""CNG2S17""","""51""","""20BALINESECNG2S17BALINESECLGCLARY""","""GRAYCNG2S17OR""","""ET"""
"""300103701410917427120231227BAL""","""INESE""","""CNG5""","""51""","""20BALINESECNG5BALINESECLGCLARY""","""GRAYCNG5OR""","""ROSEAAB5120140CC505001"""
"""300103701410917434120231227BAL""","""INESE""","""CNG5S23""","""51""","""20BALINESECNG5S23BALINESECLGCLARY""","""GRAYCNG5S23OR""","""ROSEBAB5120140CC55550S23DEGRADEC11"""
"""300103701410930471120231227BAL""","""INESECNG28""","""51""","""20BAL""","""INESECNG28BALINESECLGCLARY""","""GRAYCNG28OR""","""ET"""
"""300103701410930488120231227BAL""","""INESECNG28S18""","""51""","""20BAL""","""INESECNG28S18BALINESECLGCLARY""","""GRAYCNG28S18OR""","""ET"""
"""300103701410930495120231227BAL""","""INESECNG5S22""","""51""","""20BAL""","""INESECNG5S22BALINESECLGCLARY""","""GRAYCNG5S22OR""","""ROSEBAB5120145CC55550S22DEGRADEC11"""
"""300103701410917106120231227BER""","""LINER""","""CNG1""","""49""","""23BERLINERCNG1BERLINERCLGCLARY""","""GRAYCNG1OR""","""24KACA4923140CC505001"""
"""300103701410928003120231227BER""","""LINER""","""CNG13""","""49""","""23BERLINERCNG13BERLINERCLGCLARY""","""GRAYCNG13OR""","""ET"""
"""300103701410933113120231227BER""","""LINER""","""CNG13S21""","""49""","""23BERLINERCNG13S21BERLINERCLGCLARY""","""GRAYCNG13S21OR""","""ET"""
"""300103701410928027120231227BER""","""LINER""","""CNG14""","""49""","""23BERLINERCNG14BERLINERCLGCLARY""","""GRAYCNG14OR""","""ET"""
"""300103701410917113120231227BER""","""LINER""","""CNG1S21""","""49""","""23BERLINERCNG1S21BERLINERCLGCLARY""","""GRAYCNG1S21OR""","""24KBCA4923140CC55550S21DEGRADEC11"""
"""300103701410917083120231227BER""","""LINER""","""CNG2""","""49""","""23BERLINERCNG2BERLINERCLGCLARY""","""GRAYCNG2OR""","""24KACA4923140CC505001"""
"""300103701410933120120231227BER""","""LINER""","""CNG28""","""49""","""23BERLINERCNG28BERLINERCLGCLARY""","""GRAYCNG28ORACA4""","""923145CC505001"""
"""300103701410933137120231227BER""","""LINER""","""CNG29""","""49""","""23BERLINERCNG29BERLINERCLGCLARY""","""GRAYCNG29ARGENT""","""ACA4923145CC505001"""
"""300103701410933144120231227BER""","""LINER""","""CNG29S14""","""49""","""23BERLINERCNG29S14BERLINERCLGCLARY""","""GRAYCNG29S14ARG""","""ENTBCA4923145CC55550S14DEGRADEC11"""
"""300103701410933151120231227BER""","""LINER""","""CNG29S8""","""49""","""23BERLINERCNG29S8BERLINERCLGCLARY""","""GRAYCNG29S8ARGE""","""NTBCA4923145CC55550S8DEGRADEC11"""
"""300103701410917090120231227BER""","""LINER""","""CNG2S20""","""49""","""23BERLINERCNG2S20BERLINERCLGCLARY""","""GRAYCNG2S20OR""","""ET"""
"""300103701410917069120231227BER""","""LINER""","""CNG4""","""49""","""23BERLINERCNG4BERLINERCLGCLARY""","""GRAYCNG4OR""","""ET"""
"""300103701410917076120231227BER""","""LINER""","""CNG4S12""","""49""","""23BERLINERCNG4S12BERLINERCLGCLARY""","""GRAYCNG4S12OR""","""ET"""
"""300103701410933106120231227BER""","""LINERCNG1S1""","""49""","""23BER""","""LINERCNG1S1BERLINERCLGCLARY""","""GRAYCNG1S1OR""","""24KBCA4923145CC55550S1DEGRADEC11"""
"""300103701410916994120231227BOR""","""DELAISE""","""CNG10S17""","""55""","""18BORDELAISECNG10S17BORDELAISECLGCLARY""","""GRAYCNG10S17OR""","""ET"""
"""300103701410916970120231227BOR""","""DELAISE""","""CNG8S16""","""55""","""18BORDELAISECNG8S16BORDELAISECLGCLARY""","""GRAYCNG8S16OR""","""ET"""
"""300103701410916987120231227BOR""","""DELAISE""","""CNG9S18""","""55""","""18BORDELAISECNG9S18BORDELAISECLGCLARY""","""GRAYCNG9S18OR""","""ET"""
"""300103701410923305120231227BOS""","""TONIAN""","""CNG1""","""58""","""17BOSTONIANCNG1BOSTONIANCLGCLARY""","""GRAYCNG1OR""","""24KAAA5817145CC505001"""
"""300103701410923282120231227BOS""","""TONIAN""","""CNG13""","""58""","""17BOSTONIANCNG13BOSTONIANCLGCLARY""","""GRAYCNG13OR""","""24K"""
"""300103701410923275120231227BOS""","""TONIAN""","""CNG13S23""","""58""","""17BOSTONIANCNG13S23BOSTONIANCLGCLARY""","""GRAYCNG13S23OR""","""24K"""
"""300103701410923268120231227BOS""","""TONIAN""","""CNG14""","""58""","""17BOSTONIANCNG14BOSTONIANCLGCLARY""","""GRAYCNG14OR""","""24K"""
"""300103701410923299120231227BOS""","""TONIAN""","""CNG1S20""","""58""","""17BOSTONIANCNG1S20BOSTONIANCLGCLARY""","""GRAYCNG1S20OR""","""24KBAA5817145CC55550S20DEGRADEC11"""
